Screen Name,User Name,Tweet Created At,Tweet Text,User Location,Retweet Count,Phone Type,Hashtags
peecorn4,b'peecorn',8/16/2019 23:39,"b""RT @AndrewYang: It's not immigrants, it's robots and machines. We must reject xenophobia and focus on the real threat to the jobs of millio\xe2\x80\xa6""",b'',688,b'Twitter for iPhone',nan
LiberalTriggers,b'\xe2\x9d\x84\xef\xb8\x8f\xf0\x9f\x94\xab',8/16/2019 21:46,b'@copleac @josephj12286313 @ThatTrumpGuy @AndrewYang He said immigrants aren\xe2\x80\x99t taking jobs robots are.. https://t.co/KwMfrfKz2V',b'',0,b'Twitter Web App',nan
lukematthws,b'Luke',8/16/2019 20:13,"b""RT @AndrewYang: It's not immigrants, it's robots and machines. We must reject xenophobia and focus on the real threat to the jobs of millio\xe2\x80\xa6""",b'Nowhere',688,b'Twitter for Android',nan
iiSupportUBi420,b'UniversaLBasic.income',8/16/2019 19:58,b'@AndrewYang Yes That iS The Beginning Motive To Let Robots Start Taking More jobs...More Humans Might Question What iS TheiR Meaning iN Life ? When ALL LaboR Costs Are Gone iN Future...Usa Can Be The LeadeR iN Automation That HeLp Guide This WORLD Away From Low Wage jobs Aka Economic SLavery',"b'Quincy, MA'",0,b'Twitter for Android',nan
AwesomeZFighter,b'AwesomeZFighter',8/16/2019 19:52,"b""@DrAnonymousOH @AndrewYang They will but who's gonna monitor the robots? Repair the machines? Make sure there aren't hiccups with the systems? Machines will be lost, but new ones will be made. Thing tricky about those new jobs starts with the education system such invest more time in it, not money.""","b'California, USA'",0,b'Twitter Web App',nan
IThinkWayMore,b'David Ward',8/16/2019 19:33,b'@AndrewYang But you said that robots are comming for our jobs and the only way forward was a UBI.  Now you say VocTech is the way?  So we dont actually need a UBI?  We just need people to learn a skill?  Instead of dropping out of HS and flipping burgers?  Novel Idea.',b'',0,b'Twitter for Android',nan
Gibblesnbits160,b'YANG for pres 2020',8/16/2019 19:30,"b""@BatmasoTheHairy @LibertySmurf @nccreative4 @BernieSanders @AndrewYang and I suppose you think raising the minimum wage is the answer?  Last time I checked robots don't get paid and neither will the people losing there jobs when they are replaced.  I love Bernie but do not think he has the correct solutions for the problems he knows about.""",b'',0,b'Twitter Web App',nan
sabrinarino1,b'sabrinarino',8/16/2019 19:29,b'@AndrewYang Doesn\xe2\x80\x99t this contradict your UBI theory of jobs being automated out of existence? How will vocational training help them? Those are the jobs going to robots or AI.',b'',0,b'Twitter for iPhone',nan
heeyvernaa,b'verna \xe2\x9c\xa8',8/16/2019 16:45,"b""RT @AndrewYang: It's not immigrants, it's robots and machines. We must reject xenophobia and focus on the real threat to the jobs of millio\xe2\x80\xa6""",b'DF',688,b'Twitter for iPhone',nan
alien70,b'alien70',8/16/2019 16:02,b'@JoeRossAntiBCA @J5AliveUniverse @AndrewYang Or the maps could be simply fixed. I personally want for robots take all of the jobs.',b'',0,b'Twitter for Android',nan
