Adj,Noun,Count
radioactive, data,2953
artificial, intelligence ,2184
radioactive, gefficiency ,1477
radioactive, b ,1476
radioactive, support ,1476
human, machines ,1242
big, data ,1210
i, i ,1188
t, safety ,1030
human, safety ,1030
sensible, safety ,960
u, jobs ,840
emotional, intelligence ,837
bIoTiness, jobs ,829
human, network ,670
i, sensory ,602
i, job ,598
t, machines ,585
i, unemployment ,584
i, phobia ,579
fear, i ,567
interactive, job ,566
i, augment ,566
i, responsive ,565
interactive, i ,565
fear, unemployment ,565
interactive, augment ,564
interactive, phobia ,564
interactive, sensory ,564
interactive, responsive ,564
interactive, unemployment ,564
fear, job ,564
fear, augment ,564
fear, phobia ,564
fear, sensory ,564
fear, responsive ,564
t, network ,535
t, workers ,527
human, workers ,520
human, efficiency ,495
t, efficiency ,482
t, sick ,481
sensible, machines ,481
sensible, network ,479
human, sick ,478
sensible, workers ,478
sensible, sick ,478
sensible, efficiency ,478
smart, analytics ,444
indIoTtrial, revolution ,437
factoryfactoryfactory, factoryfactoryfactory ,340
artificial, ai ,338
more, revolution ,324
more, s ,305
more, automation ,302
digital, revolution ,301
smart, automation ,294
more, b ,289
i, perfection ,275
social, people ,251
top, skills ,242
more, trust ,238
t, b ,236
th, revolution ,235
more, evolution ,235
i, careers ,226
social, media ,221
artificial, data ,220
i, workers ,220
factoryfactoryfactory, productivity ,219
indIoTtrial, automation ,219
i, solution ,219
i, fergIoTons ,214
u, emotions ,212
artificial, machine ,210
bIoTiness, ideas ,209
bIoTiness, breach ,208
u, ideas ,207
u, lord ,206
u, breachprivacyr ,206
u, breach ,206
u, education ,206
u, Robotics ,206
u, succes ,206
bIoTiness, lord ,206
bIoTiness, breachprivacyr ,206
bIoTiness, emotions ,206
bIoTiness, education ,206
bIoTiness, Robotics ,206
bIoTiness, succes ,206
i, intelligence ,204
i, b ,199
top, world ,198
more, jobs ,198
ojobs, automation ,192
ojobs, futjobse ,189
i, work ,183
i, things ,183
s, b ,182
best, intelligence ,181
human, work ,180
ojobs, technology ,180
artificial, jobs ,179
big, i ,177
human, humans ,174
human-ICT4D, slides ,174
artificial, skills ,173
tutorial, slides ,173
total, slides ,173
best, slides ,173
creative, page ,172
indIoTtrial, futjobse ,169
global, analytics ,164
more, pressjobse ,159
human, b ,159
emotional, i ,159
top, countries ,158
ai, revolution ,158
uk, analytics ,158
artificial, s ,156
digital, indIoTtry ,156
more, learn ,154
top, ranks ,154
artificial, machines ,152
indIoTtrial, factoryfactoryfactory ,151
t, i ,150
financial, services ,150
ai, skills ,149
global, office ,148
uk, office ,148
human, intelligence ,147
more, technology ,146
artificial, futjobse ,144
more, futjobse ,144
artificial, productivity ,141
digital, services ,141
creative, ebook ,139
more, intelligence ,138
t, robots ,138
i, futjobse ,138
i, analytics ,138
more, skills ,138
t, jobs ,137
lethal, combination ,135
lethal, futjobse ,135
lethal, automation ,135
lethal, stage ,135
indIoTtrial, combination ,135
indIoTtrial, stage ,135
artificial, revolution ,133
big, ai ,133
i, m ,131
big, b ,129
ojobs, skills ,128
i, yojobs ,127
th, factoryfactoryfactory ,125
soft, skills ,125
bIoTiness, revolution ,125
human, jobs ,124
vast, data ,124
