User Name,Tweet Created At,Tweet Text,User Location,Retweet Count
User Name,Tweet Created At,Tweet Text,User Location,Retweet Count,Polarity,Subjectivity
Steve Dias,2019-07-22 23:39:11, can't wait to see the modi army react to this!! :-),nan,0,0.5,1.0
User Name,Tweet Created At,Tweet Text,User Location,Retweet Count,Polarity,Subjectivity
Steve Dias,2019-07-22 23:39:11, can't wait to see the modi army react to this!! :-),nan,0,0.5,1.0
User Name,Tweet Created At,Tweet Text,User Location,Retweet Count,Polarity,Subjectivity
User Name,Tweet Created At,Tweet Text,User Location,Retweet Count,Polarity,Subjectivity
Steve Dias,2019-07-22 23:39:11, can't wait to see the modi army react to this!! :-),nan,0,0.5,1.0
Bilal Akbar,2019-07-22 23:36:46," mike, it’s the interpretation. bottom line is that trump exposed modi big time. even if usg takes a back seat, highlighting it at a big canvass is a success in itself. pakistan role in afghanistan peace process is also well understood and recognised. this is win win for ik","Melbourne, Victoria",4,0.3166666666666667,0.16666666666666666
Adarsh singh🇮🇳,2019-07-22 23:35:24,"isro is so rude, they didn't even care about priyanka chopra asthma...😂😂😂😂 chandrayaan2themoon chandrayaan2 isro priyankachopra moonmission2 modi nehru nehruonthemoon ","Gorakhpur, India",4,-0.3,0.6
Sam Mourya🇮🇳,2019-07-22 23:31:45,modi imrankhan trump trending together... pkmkb ,"इंदौर, भारत",0,0.0,0.0
Saket,2019-07-22 23:31:09,you must understand that when you insult your own country you also insult your own self! with the clarification issued by mea it is a matter of shame for trump and not for india or modi ,North America,0,0.675,1.0
TweetyWeety,2019-07-22 23:28:46,"donaldtrump claims modi asked him to mediate kashmir crisis after imrankhan asks for the same india denies he was ever asked to do this. trump just doesn't understand the basics of diplomacy, ie that you don't lie about what people said",nan,0,0.0,0.125
Riaz Haq,2019-07-22 23:28:19, so what's modi going to do? india’s 3rd party mediation policy on kashmir is very confused and hypocritical. it seeks 3rd countries’ support to isolate and coerce pakistan but it refuses to accept their mediation to resolve the issues in southasia ,"Silicon Valley, CA",6,-0.17333333333333334,0.3033333333333333
Riaz Haq,2019-07-22 23:22:36, so what's modi going to do? india’s 3rd party mediation policy on kashmir is very confused and hypocritical. it seeks 3rd countries’ support to isolate and coerce pakistan but it refuses to accept their mediation to resolve the issues in southasia ,"Silicon Valley, CA",0,-0.17333333333333334,0.3033333333333333
BWW Montreal,2019-07-22 23:22:30,see elongold &amp; modi two for one you don't need to be jewish to enjoy these hilarious comedians! ,nan,0,0.3416666666666666,0.5
Aam aadmi 💃,2019-07-22 23:19:58,who is donald trump- 1)daughter fucker 2)indian hater 3)great lier 4)above all...???? modi nehruonthemoon,nan,1,0.0,0.0
ST Foreign Desk,2019-07-22 23:09:25,india denies modi asked trump to mediate kashmir dispute ,Singapore,0,0.0,0.0
RJ,2019-07-22 23:08:05," always, pick wrong words and wrong lines, always at wrong time and wrong place. my concern is that why did he lied that pm ind modi asked him to mediate between india and pakistan. why fakenews.",India,0,-0.5,0.9
Mera Mirpur,2019-07-22 23:05:23,"president trump claims that pmmodi asked him to mediate on the kashmir issue, but mea india says pm modi nevr discussed it wth us president. so who is lying? modi begging pmimran ",Manchaster UK,0,0.0,0.0
