Screen Name,User Name,Tweet Created At,Tweet Text,User Location,Retweet Count,Phone Type
mirza786110,tabish,7/20/2019 23:58,@isro Best of luck #Chandrayaan2 🇮🇳🇮🇳,"Lucknow, India",0,Twitter for Android
vananishakti,vanani shaktibhai,7/20/2019 23:43,"Clean india
#Chandrayaan2 @akshaykumar @narendramodi #polithin #PlasticFreeJuly #Plastic #india #krishana  #HEATWAVE2019 #Apollo11 # https://t.co/alWW6rFX2F",liya 363510,0,Twitter for Android
AjitKum83767939,Ajit Kumar Sahoo,7/20/2019 23:04,@isro All the best #Chandrayaan2 #ISRO,,0,Twitter for Android
khanolkar_sunil,sunil khanolkar,7/20/2019 22:24,Congratulations #Chandrayaan2  #ISRO  @isro https://t.co/OfafZZB7xq,"Mumbai, India",0,Twitter for Android
SubhankarS,Subhankar Sarkar,7/20/2019 22:02,"While the whole world is celebrating 50 years of mankind’s first @NASA #MoonLanding, we are back here in India ready for the @isro #Chandrayaan2 launch and to travel to all the way to South Pole of the Moon for the first time in #spaceexploration History. #Apollo50th #ISRO https://t.co/fbCbHLhX5E","Kolkata, India",0,Twitter for iPhone
SameerBaadkar,Sameer V Baadkar,7/20/2019 21:39,"7.7 billion people live on this white bright dot. We can agree to disagree, but after all is said, none of us can leave and live anywhere else but on this dot. 
A picture of #Earth from the rings of Saturn.
#Nasa #ISRO #NASASocial #Saturn #SundayThoughts #Apollo50 #Chandrayaan2 https://t.co/tFw53E9VtH","Karwar,India",0,Twitter for Android
futureof_space,Future of Space,7/20/2019 21:28,India Shoots for the Moon with Ambitious Lunar Launch Today! Watch It Live https://t.co/qbpFImUl8E #Astrophysics #Spacetech #Space #Astronomy #Chandrayaan2 via @SPACEdotcom,,1,Buffer
singhaniasubh12,Subham Singhania 🇮🇳🇮🇳🇮🇳,7/20/2019 20:37,"@NASA Seems lyk a fake animated video.Also near abt 6 decades hav passd. No sch Manned Lunar missions by #NASA as still the mysteries of #Moon R unsolvd &amp; to evry successful space missn there comes several followups ! Bt nt in case of #Apollo11 #NeilArmstrong
See #Chandrayaan2 @isro","Guwahati, India",0,Twitter for Android
HiteshD14823564,Hitesh Dabhi,7/20/2019 20:33,@isro It's a great news. #ISRO #Chandrayaan2,,0,Twitter for Android
mangopeace,Velli Aunty,7/20/2019 20:27,You know your nation is developed when you are more excited about #Chandrayaan2 and not Apollo 11’s 50th landing anniversary. @majorgauravarya @TajinderBagga #india @isro,India,0,Twitter Web App
muhitreza,Muhit Reza,7/20/2019 20:17,"When PM @ImranKhanPTI will meet Pres @realDonaldTrump? = 22 July

When PM @narendramodi will launch his #Russian made #Chandrayaan2 mission? = 22 July 

Good luck..!!

@BernieSanders @JustinTrudeau @jeremycorbyn @FedericaMog @EmmanuelMacron @mehdirhasan @MazMHussain @miqdaad @AOC https://t.co/FTbaMlmndq",World,0,Twitter for Android
amarnathJan,Amarnath®,7/20/2019 19:57,3D printed Chandrayan-2. #quanint #3Dprinting #Chandrayaan2 @quanint #qts #3dprinted https://t.co/tal2d4pXzf,"Hyderabad, India",0,Twitter for Android
LegalKant,Ravi Kant,7/20/2019 19:40,"India's Moon Mission #Chandrayaan2 will be launched on 22nd July coinciding with the #Apollo50th anniversary 

#Apollo11 landed on the moon surface on July 20

#NeilArmstrong became the first person to step onto the lunar surface on July 21 https://t.co/J2IEvTlrBD",🇪🇺🇩🇪🇫🇷,0,Twitter Web Client
ln_ramawat,LN Ramawat🇮🇳,7/20/2019 19:05,"@isro Thanks a lot god that I born in #India
#ProudeForBeingAnINDIAN 😍
#Chandrayaan2IsReady
#World is waiting to see India on #MOON
#Chandrayaan2 will create an unforgettable history and world will see the #space power of India #ISRO
#ItWillBeAPerfectLandingOnMoon 💙👍⌛🇮🇳🌌🚀🌕🌏✌️🔥",,0,Twitter for Android
