User Name,Tweet Created At,Tweet Text,User Location,Retweet Count,Polarity,Subjectivity
tabish,7/20/2019 23:58, best of luck chandrayaan2 🇮🇳🇮🇳,"Lucknow, India",0,1.0,0.3
vanani shaktibhai,7/20/2019 23:43,clean india chandrayaan2 polithin plasticfreejuly plastic india krishana heatwave2019 apollo11 # ,liya 363510,0,0.3666666666666667,0.7000000000000001
Ajit Kumar Sahoo,7/20/2019 23:04, all the best chandrayaan2 isro,nan,0,1.0,0.3
sunil khanolkar,7/20/2019 22:24,congratulations chandrayaan2 isro ,"Mumbai, India",0,0.0,0.0
Subhankar Sarkar,7/20/2019 22:02,"while the whole world is celebrating 50 years of mankind’s first moonlanding, we are back here in india ready for the chandrayaan2 launch and to travel to all the way to south pole of the moon for the first time in spaceexploration history. apollo50th isro ","Kolkata, India",0,0.18,0.31333333333333335
Sameer V Baadkar,7/20/2019 21:39,"7.7 billion people live on this white bright dot. we can agree to disagree, but after all is said, none of us can leave and live anywhere else but on this dot. a picture of earth from the rings of saturn. nasa isro nasasocial saturn sundaythoughts apollo50 chandrayaan2 ","Karwar,India",0,0.2431818181818182,0.44999999999999996
Future of Space,7/20/2019 21:28,india shoots for the moon with ambitious lunar launch today! watch it live astrophysics spacetech space astronomy chandrayaan2 via ,nan,1,0.22443181818181818,0.625
Subham Singhania 🇮🇳🇮🇳🇮🇳,7/20/2019 20:37, seems lyk a fake animated video.also near abt 6 decades hav passd. no sch manned lunar missions by nasa as still the mysteries of moon r unsolvd &amp; to evry successful space missn there comes several followups ! bt nt in case of apollo11 neilarmstrong see chandrayaan2 ,"Guwahati, India",0,0.0875,0.5874999999999999
Hitesh Dabhi,7/20/2019 20:33, it's a great news. isro chandrayaan2,nan,0,0.8,0.75
Velli Aunty,7/20/2019 20:27,you know your nation is developed when you are more excited about chandrayaan2 and not apollo 11’s 50th landing anniversary. india ,India,0,0.325,0.5166666666666667
Muhit Reza,7/20/2019 20:17,when pm will meet pres = 22 july when pm will launch his russian made chandrayaan2 mission? = 22 july good luck..!! ,World,0,0.5,0.30000000000000004
Amarnath®,7/20/2019 19:57,3d printed chandrayan-2. quanint 3dprinting chandrayaan2 qts 3dprinted ,"Hyderabad, India",0,0.0,0.0
Ravi Kant,7/20/2019 19:40,india's moon mission chandrayaan2 will be launched on 22nd july coinciding with the apollo50th anniversary apollo11 landed on the moon surface on july 20 neilarmstrong became the first person to step onto the lunar surface on july 21 ,🇪🇺🇩🇪🇫🇷,0,0.25,0.3333333333333333
LN Ramawat🇮🇳,7/20/2019 19:05, thanks a lot god that i born in india proudeforbeinganindian 😍 chandrayaan2isready world is waiting to see india on moon chandrayaan2 will create an unforgettable history and world will see the space power of india isro itwillbeaperfectlandingonmoon 💙👍⌛🇮🇳🌌🚀🌕🌏✌️🔥,nan,0,0.5,0.6
Chethan Kumar,7/20/2019 19:04,on my way to chennai for a stopover before heading sriharikota to cover chandrayaan2 launch on july 22. was trying capture moon and my phone accidentally caught something else too: see bottom-right. ,nan,19,0.0,0.0
WION,7/20/2019 19:00,"chandrayaan2 was scheduled to be launched on july 15. however, less than an hour before the launch, the mission was aborted after a technical snag was detected in the rocket ",South Asia,2,-0.08333333333333333,0.08333333333333334
Shivam Gupta,7/20/2019 18:56,copy that ! jaihind chandrayaan2 indiamoonmission moonlanding chandrayan2 ,"Rajouri,Jammu and Kashmir",0,0.0,0.0
Srinivasan Kanniwadi,7/20/2019 18:55,all the very best wishes to team! chandrayaan2 jaihind ,"Leeds, England",0,1.0,0.39
Ambassador of Peace 🇮🇳,7/20/2019 18:53,"launch rehearsal of gslvmkiii-m1 / chandrayaan2 mission completed, performance normal isro","BIHAR_SHARIF, INDIA",0,0.15,0.6499999999999999
Vikas विकास 🇮🇳,7/20/2019 18:53,50 years since neilarmstrong landed on moon. awaiting chandrayaan2's journey. usa india ,"Hyderabad/Bengaluru,Bharat🇮🇳",0,0.0,0.0
Partha Ghosh,7/20/2019 18:46,"wonderful. you ask for the moon, and you will get it. don't stop till we get there 🤗 chandrayaan2 gslvmkiii-m1 ","New Delhi, India",1,1.0,1.0
Prajwal Karad,7/20/2019 18:45,"chandrayaan2 launch is now rescheduled on 22nd july, 2019 at 14:43 hrs from second launch pad of sdsc, sriharikota.","Maharashtra, India",0,0.0,0.0
Amush Booshe,7/20/2019 18:34,wtf! who is even entrusted with this handle? the last bastion of hope is also lost in this country! what mockery is this? chandrayaan2 ,"Bengaluru South, India",5,-0.3125,0.5333333333333333
Priyank Parmar,7/20/2019 18:34,"chandrayaan2 before 59 minutes ago,isro launched rehearsal of chandrayaan2 &amp; it's quite normal a good news for us... gslvmkiii chandrayaan2themoon",India,0,0.425,0.625
Kartik_singh,7/20/2019 18:30, eagerly waiting for this epic moment isro chandrayaan2,"Darbhanga, India",0,0.1,0.4
Tyler Gray,7/20/2019 18:18,preparations for the second launch attempt of the chandrayaan2 moon mission are proceeding nominally. is currently targeting a liftoff on monday morning at 5:13 a.m. et (09:13 utc). ,"Austin, TX",1,0.0,0.2
Dr. Anita Sengupta,7/20/2019 18:16,"pragyan is the chandrayaan2 lunar rover, with only 50 w of power it can travel over 500 meters on the moon's surface to conduct up to 14 days of science operations. ",Alpha Quadrant,1,0.0,1.0
ManN💙,7/20/2019 18:10,u r our pride isro we r waiting for chandrayaan2 launch with gslvmkiii jaihind ,India,0,0.0,0.0
चौधरी साब,7/20/2019 18:08, keep your head up because god gives the toughest battles to his strongest and most courageous soldiers... best wishes.. chandrayaan2 gslvmkiii,"New Delhi, India",0,0.75,0.4
Dr Karma B,7/20/2019 18:05, isro eagerly waiting to touch the chandamama chandrayaan2,nan,0,0.0,0.0
News18,7/20/2019 18:05,moonmission2 -- launch rehearsal of chandrayaan2 mission has been completed and performance is normal: ,India,2,0.15,0.6499999999999999
Pinky Rajpurohit (ABP News) 🇮🇳,7/20/2019 18:03,"launch rehearsal of gslvmkiii-m1 / chandrayaan2 mission completed, performance normal isromissions isro",India,1,0.15,0.6499999999999999
