Screen Name,User Name,Tweet Created At,Tweet Text,User Location,Retweet Count,Phone Type,Hashtags,Country Code,Country,lat,long,Polarity,Sentiment
RobertaAlgeri,Roberta Algeri ,8/17/2019 16:06,b read greg johnson s story on how he created a system that is capable of recognizing dozens of subcellul   ,Bologna-Italy ,2,Twitter for Android , MachineLearning,it,Italy,44.4936714,11.3430347,0.5574,POSITIVE
RPA_branding,Nicole Nuppenau ,8/17/2019 16:05,"bread greg johnson s story on how he created a system that is capable of recognizing dozens of subcellular structures and what this means to healthcare    

","Cologne, Germany ",2,Hootsuite Inc. , MachineLearning AI MachineLearning ML BigData IoT DeepLearning Robotics,de,Germany,50.938361,6.959974,0.5574,POSITIVE
fabiomoioli,Fabio Moioli ,8/17/2019 15:49," new generation of prosthetics can read almost 

this armband uses to predict    ","Viale Pasubio, 13, 20154 Milano MI, Italia ",64,Twitter for iPhone , prosthetics minds machine learning,it,Italy,45.481706,9.1839284,0.0,NEUTRAL
Manifattura40,Industry 4.0 ,8/17/2019 15:16, read about the surprising application of on the perfume making industry        ,We,3,Twitter Bot 2018_87 , ArtificialIntelligence,at,Austria,48.1686214,14.0255595,0.2732,POSITIVE
msarozz,Saroj Humagain ,8/17/2019 15:16, read about the surprising application of on the perfume making industry        ,Nepal ,3,"Twitter bot, saroj humagain ", ArtificialIntelligence,np,Nepal,28.1083929,84.0917139,0.2732,POSITIVE
RPA_executive,Michael Thywissen ,8/17/2019 15:15,"read about the surprising application of on the perfume making industry    

","Cologne, Germany ",3,Hootsuite Inc. , ArtificialIntelligence AI MachineLearning ML BigData IoT DeepLearning Robotics,de,Germany,50.938361,6.959974,0.2732,POSITIVE
m3yrin,m3yrin@             ,8/17/2019 15:13," new generation of prosthetics can read almost 

this armband uses to predict    ",Tokyo ,64,Twitter for iPhone , prosthetics minds machine learning,jp,Japan,35.6828387,139.7594549,0.0,NEUTRAL
femtech_,fem_tech ,8/17/2019 14:48," the boundaries of artificial emotional intelligence 

    ","Berlin, Germany ",9,friendly fem tech bot , AI MachineLearning futureofwork Robotics womenintech fintech,de,Germany,52.5170365,13.3888599,0.5719,POSITIVE
tremalnike67,tremalnike ,8/17/2019 14:33," new generation of prosthetics can read almost 

this armband uses to predict    ",Roma ,64,Twitter for iPhone , prosthetics minds machine learning,it,Italy,41.894802,12.4853384,0.0,NEUTRAL
Vibha28may81,vibha ,8/17/2019 14:28," new generation of prosthetics can read almost 

this armband uses to predict    ","New Delhi, India ",64,Twitter for iPhone , prosthetics minds machine learning,in,India,28.6141793,77.2022662,0.0,NEUTRAL
marci19061,         Marci19061                 ,8/17/2019 14:04," new generation of prosthetics can read almost 

this armband uses to predict    ","Torino, Piemonte ",64,Twitter for Android , prosthetics minds machine learning,it,Italy,45.0677551,7.6824892,0.0,NEUTRAL
aymericw,Aymeric Weinbach ,8/17/2019 13:58," new generation of prosthetics can read almost 

this armband uses to predict    ","Le Chesnay, Ile-de-France, ",64,Twitter for Android , prosthetics minds machine learning,fr,France,48.8255064,2.1279894,0.0,NEUTRAL
BMWFahrer,Yael Becerril ,8/17/2019 13:57," new generation of prosthetics can read almost 

this armband uses to predict    ",Mexico City ,64,Twitter for iPhone , prosthetics minds machine learning,mx,Mexico,19.4326009,-99.1333416,0.0,NEUTRAL
FmFrancoise,Fran  oise Morvan ,8/17/2019 13:55," new generation of prosthetics can read almost 

this armband uses to predict    ",France Bretagne Finist  re Quimper ,64,Twitter Web App , prosthetics minds machine learning,fr,France,48,-4.1,0.0,NEUTRAL
BahSerign,Serign Modou Bah ,8/17/2019 13:50," new generation of prosthetics can read almost 

this armband uses to predict    ","Bakoteh, The Gambia ",64,Twitter Web App , prosthetics minds machine learning,gm,The Gambia,13.4391419,-16.6970103,0.0,NEUTRAL
TheCuriousLuke,Curious Luke ,8/17/2019 13:48," new generation of prosthetics can read almost 

this armband uses to predict    ",Switzerland ,64,RTML , prosthetics minds machine learning,ch,Switzerland,46.7985624,8.2319736,0.0,NEUTRAL
RPA_sales,Nils Abel ,8/17/2019 11:30,"read about how greg johnson found an efficient way to view the inner workings of living cells using systems     

","Cologne, Germany ",0,Hootsuite Inc. , MachineLearning ArtificialIntelligence AI MachineLearning ML BigData IoT DeepLearning Robotics,de,Germany,50.938361,6.959974,0.4215,POSITIVE
SaeedBaygi,Saeed Valadbaygi ,8/17/2019 10:54,bamerica can stop china from dominating intelligenceand should    gatestone institute the people s republic of china nonetheless is already an powerhouse and for america to maintain its edge     ,"Toronto, Ontario ",0,Twibble.io , Artificial AI Toronto ArtificialIntelligence Business,ca,Canada,43.653963,-79.387207,-0.5267,NEGATIVE
ukrphysics,Institute High Tech ,8/17/2019 9:58, based on the and   the san francisco ca provider of intelligenceenabled  raised  million in funding from  beta v    ,UKRAINE ,0,IFTTT , business valuation due diligence Replicant AI artificial voice technologies seed Atomic Bloomberg Costanoa,ua,Ukraine,49.4871968,31.2718321,0.0,NEUTRAL
TheCuriousLuke,Curious Luke ,8/17/2019 8:57,b what are good applications of  and what applications don t deliver on their promise read about it   ,Switzerland ,2,RTML , ArtificialIntelligence,ch,Switzerland,46.7985624,8.2319736,0.6369,POSITIVE
RPA_BizDev,Wouter Siepman ,8/17/2019 7:50,"bwhat are good applications of  and what applications don t deliver on their promise read about it here    

","Keulen, Duitsland ",2,Hootsuite Inc. , ArtificialIntelligence AI MachineLearning ML BigData IoT DeepLearning Robotics,de,Germany,50.938361,6.959974,0.6369,POSITIVE
jayeshmthakur,jayeshthakur ,8/17/2019 7:17," ai augmentation to create  trillion of business value
   ",::1 ,5,jayeshthakur , ai technology artificialintelligence tech machinelearning,in,India,22.3511148,78.6677428,0.5423,POSITIVE
jayeshmthakur,jayeshthakur ,8/17/2019 7:16," artificial intelligence needs a strong data foundation
   ",::1 ,10,jayeshthakur , ai technology artificialintelligence tech machinelearning,in,India,22.3511148,78.6677428,0.7506,POSITIVE
VinuSemiotics,vinu R chandran ,8/17/2019 7:13,b ava can do it all don t get locked in with a vendor with limited capabilities ava can accomplish every one of these tasks w   ,"Chennai, India ",8,Twitter Web App ,nan,in,India,13.0801721,80.2838331,0.2263,POSITIVE
SaeedBaygi,Saeed Valadbaygi ,8/17/2019 6:54,brise of the machines will take jobs warn filmmakers    sydney morning herald the documentary machine assesses the present state of ai and warns that if we don t make some major ethical cho  ,"Toronto, Ontario ",0,Twibble.io , artificial intelligence ArtificialIntelligence Toronto AI,ca,Canada,43.653963,-79.387207,0.3612,POSITIVE
LNhuka,Lovemore Nhuka ,8/17/2019 6:51," artificial intelligence needs a strong data foundation
   ","Johannesburg, South Africa ",10,Twitter for Android , ai technology artificialintelligence tech machinelearning,za,RSA,-26.205,28.049722,0.7506,POSITIVE
IRC000,Integral Regime Counseling | IRC ,8/17/2019 6:41, and the challenge of via  ,World | EU | Baden-Baden ,0,Twitter Web Client , AI Artificial Intelligence Global Governance,at,Austria,48.00543,16.23264,0.0772,POSITIVE
SaeedBaygi,Saeed Valadbaygi ,8/17/2019 6:24,brise of the machines will take jobs warn filmmakers    the age the documentary machine assesses the present state of ai and warns that if we don t make some major ethical choices the future could be very b  ,"Toronto, Ontario ",0,Twibble.io , artificial intelligence Toronto Fraud AI,ca,Canada,43.653963,-79.387207,0.3612,POSITIVE
ssn4value,SSN 4 Value ,8/17/2019 5:25,based on the and   the san francisco ca provider of intelligenceenabled  raised  million in funding from  beta ventures and venture partners ,United States ,0,Sprout Social , business valuation due diligence Replicant AI artificial voice technologies seed Atomic Bloomberg Costanoa Norwest,us,USA,39.7837304,-100.4458825,0.0,NEUTRAL
